subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-01	main	signature_weighted_mean	-0.0115130774189156	-0.0131127108603242	up_minus_passive	0.0015996334414086003	True
sub-02	main	signature_weighted_mean	-0.0322131293797041	-0.0213341493176981	up_minus_passive	-0.010878980062006001	True
sub-03	main	signature_weighted_mean	-0.0023335532744031	-0.0034802229797354	up_minus_passive	0.0011466697053322998	True
sub-04	main	signature_weighted_mean	-0.0109730320398543	-0.0120086646799689	up_minus_passive	0.0010356326401146	True
sub-05	main	signature_weighted_mean	0.0005668785394477	0.0015684504737305	up_minus_passive	-0.0010015719342828001	True
sub-06	main	signature_weighted_mean	0.5909380483068007	-0.0501270123913041	up_minus_passive	0.6410650606981049	False
sub-07	main	signature_weighted_mean	-0.0092332855508997	-0.0059657487950137	up_minus_passive	-0.003267536755886	True
sub-08	main	signature_weighted_mean	-0.0086984556577406	-0.0059344482088275	up_minus_passive	-0.002764007448913101	True
sub-09	main	signature_weighted_mean	-0.0078821499728434	-0.0073399689828679	up_minus_passive	-0.0005421809899754998	True
sub-10	main	signature_weighted_mean	-0.0068962070772222	-0.011010371441498	up_minus_passive	0.0041141643642758	True
sub-11	main	signature_weighted_mean	-0.001120968303469	0.0027368746489853	up_minus_passive	-0.0038578429524543	False
sub-12	main	signature_weighted_mean	0.0014523974425931	0.0016159411836071	up_minus_passive	-0.0001635437410140001	True
sub-13	main	signature_weighted_mean	-0.0016329319441517	-0.0064871762509657	up_minus_passive	0.004854244306814	True
sub-14	main	signature_weighted_mean	-0.001037918929766	0.0003843517146037	up_minus_passive	-0.0014222706443697	False
sub-15	main	signature_weighted_mean	-0.0095190090327741	-0.0034902780836995	up_minus_passive	-0.0060287309490746	True
sub-16	main	signature_weighted_mean	-0.0070331706335264	-0.0094572708222806	up_minus_passive	0.0024241001887542	True
sub-17	main	signature_weighted_mean	-0.0072633896858264	-0.0087261963663695	up_minus_passive	0.001462806680543099	True
sub-18	main	signature_weighted_mean	-0.0131210553820756	-0.009720033125872	up_minus_passive	-0.0034010222562036	True
sub-19	main	signature_weighted_mean	-0.0042072677232886	-0.0074682414942795	up_minus_passive	0.0032609737709909	True
sub-20	main	signature_weighted_mean	-0.0028753992074435	-0.0044303931889939	up_minus_passive	0.0015549939815503997	True
